"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Fairfield","Connecticut","13312","1034","63","2020-05-12 13:00:00","09001"
"New Haven","Connecticut","9260","716","0","2020-05-12 13:00:00","09009"
"Hartford","Connecticut","7358","921","0","2020-05-12 13:00:00","09003"
"Litchfield","Connecticut","1161","109","0","2020-05-12 13:00:00","09005"
"Middlesex","Connecticut","801","115","0","2020-05-12 13:00:00","09007"
"New London","Connecticut","784","56","0","2020-05-12 13:00:00","09011"
"unknown","Connecticut","550","6","0","2020-05-12 13:00:00","undefined"
"Tolland","Connecticut","545","47","0","2020-05-12 13:00:00","09013"
"Windham","Connecticut","271","7","0","2020-05-12 13:00:00","09015"
